413,4,48,72,70,2,11,3
751,3,36,6,53,2,23,9
686,21,1,134,13,1,46,7
441,17,7,40,63,2,17,9
715,14,28,7,20,6,26,3
721,29,6,143,72,6,42,4
729,18,22,32,18,1,34,7
971,1,31,73,69,3,25,2
633,29,36,93,54,1,10,4
503,13,45,49,40,5,3,4
765,12,7,75,74,1,17,9
602,6,15,36,62,5,28,1
824,8,45,78,29,3,7,2
685,7,34,71,31,3,8,4
845,22,34,108,98,2,33,1
906,24,43,86,39,4,36,9
550,24,32,120,78,2,38,5
973,17,19,53,24,5,25,1
670,24,31,190,36,3,10,3
504,28,24,122,64,5,13,2
983,29,35,92,67,5,27,2
726,21,18,89,10,2,8,1
459,12,20,142,9,6,49,8
664,23,37,197,69,4,48,9
974,1,17,96,49,4,16,6
409,22,44,148,27,1,22,7
721,9,35,104,45,4,10,6
765,12,29,187,38,5,37,9
783,28,1,160,64,3,1,5
412,13,48,85,29,2,32,7
611,11,10,151,40,5,25,2
763,23,21,135,62,2,40,4
783,24,3,135,88,6,4,6
683,23,39,181,45,2,1,3
941,11,37,127,78,2,5,4
526,20,21,101,11,4,14,3
585,11,5,154,1,3,10,4
928,2,2,163,47,5,37,8
604,6,14,125,63,3,42,8
635,14,40,50,16,5,7,4
529,16,43,20,30,2,44,3
538,24,49,96,91,5,15,1
411,6,47,101,70,1,47,3
742,14,8,26,40,3,27,9
636,4,14,170,69,2,10,2
762,20,37,123,41,6,48,6
415,6,44,122,53,3,22,5
425,10,14,80,57,2,47,2
949,27,38,96,20,5,33,3
814,22,1,118,17,1,8,3
547,4,19,104,70,2,39,1
803,18,27,81,97,1,1,7
569,7,34,17,25,4,1,2
746,23,7,125,99,5,29,2
483,3,40,133,18,3,38,6
653,22,47,24,17,5,35,4
819,11,11,49,50,4,46,5
520,20,18,125,30,2,3,3
636,28,23,74,42,2,33,4
429,2,36,129,49,2,47,5
448,4,15,117,68,4,11,2
623,11,39,138,36,3,16,2
745,11,24,110,88,1,43,5
543,24,38,186,45,1,32,4
506,27,46,177,59,6,33,5
576,29,18,151,91,1,7,9
583,20,6,34,41,6,27,3
830,21,13,29,25,2,8,3
984,16,23,64,31,3,2,8
969,18,23,120,57,3,3,7
545,14,7,101,13,2,1,6
406,12,18,22,53,5,17,3
403,23,34,134,20,5,13,1
718,28,33,122,60,6,18,7
779,10,7,144,96,1,43,8
523,21,10,178,25,1,30,1
418,19,19,192,22,5,20,4
426,6,4,105,41,1,48,3
794,18,7,2,86,4,43,5
747,8,30,12,48,5,41,9
790,11,42,82,97,5,3,3
417,29,46,104,8,5,19,8
569,17,38,5,6,1,49,4
567,4,28,153,4,6,28,8
901,7,1,167,44,3,23,8
544,22,11,52,41,3,45,1
765,26,37,21,18,5,30,8
525,26,47,84,63,4,30,2
554,9,26,116,61,2,36,7
650,17,29,4,56,4,3,2
537,7,8,175,56,5,12,1
848,15,10,82,7,3,43,4
906,4,9,180,70,5,11,8
603,28,17,48,33,4,3,4
721,28,48,55,26,5,26,2
677,13,26,199,18,5,5,2
632,21,31,76,81,5,4,9
400,7,7,122,48,6,30,7
762,14,2,8,74,6,4,8
703,4,29,190,37,6,27,7
737,4,3,111,72,3,26,1
828,18,43,104,48,1,32,5
535,26,40,174,41,2,32,7
658,17,47,163,56,2,15,3
688,4,32,10,1,4,12,4
452,23,30,126,11,4,39,1
773,8,15,94,79,1,12,2
571,5,2,11,7,6,9,8
753,26,29,96,29,4,11,9
971,1,41,65,39,3,7,2
687,14,34,76,73,3,44,7
846,26,45,186,46,6,36,2
441,26,48,6,59,4,1,9
470,14,42,44,70,3,2,1
530,13,14,19,24,4,30,8
485,19,14,11,29,2,38,7
867,13,21,119,90,3,32,8
567,1,28,180,42,4,25,1
520,16,5,4,75,2,14,4
790,2,27,155,40,3,25,5
572,17,16,128,2,5,7,7
709,9,40,100,68,5,7,4
552,10,41,78,1,1,41,3
469,3,5,117,50,2,3,1
591,6,3,157,39,6,14,7
538,8,43,1,72,1,48,4
459,3,23,98,10,2,18,2
557,8,25,38,97,2,43,4
512,10,29,129,24,4,27,4
474,5,23,23,14,1,32,3
424,25,3,15,69,3,41,5
986,29,9,17,67,5,34,1
756,23,15,136,95,4,37,1
617,4,47,17,50,2,33,9
488,7,23,178,28,6,2,4
505,20,34,171,21,2,35,5
646,7,39,55,86,3,49,3
764,29,12,28,24,3,3,2
